Ticker,Price,Number of Shares to Buy,One Year Price Return,One Year Return Percentile,Six Month Price Return,Six Month Return Percentile,Three Month Price Return,Three Month Return Percentile,One Month Price Return,One Month Return Percentile,HQM Score
FCX,26.23,762,1.0102433880432045,0.9881188118811882,1.2747233265374083,0.9960396039603961,0.6872885348834221,0.9782178217821782,0.10466169772477556,0.8891089108910891,0.962871287128713
ALB,151.62,131,1.0795958666286982,0.9920792079207921,0.9638703380735264,0.9881188118811882,0.7336950054223772,0.9881188118811882,0.09123890964820065,0.8633663366336635,0.957920792079208
SIVB,403.09,49,0.5581551638264387,0.9326732673267327,0.8896233576416116,0.9762376237623762,0.5996836443007261,0.9702970297029703,0.09604233142199718,0.8732673267326733,0.9381188118811881
ALGN,548.34,36,0.9361899159637086,0.9821782178217822,0.965348302719416,0.9900990099009901,0.71329942136629,0.9861386138613861,0.07059394363530064,0.7881188118811882,0.9366336633663366
MU,77.85,256,0.4062088573234067,0.8594059405940594,0.5370872089328331,0.8891089108910891,0.595306208842369,0.9683168316831683,0.12480639023009137,0.9287128712871286,0.9113861386138613
DIS,186.94,106,0.2650280489039274,0.7326732673267327,0.6135562941738217,0.9287128712871286,0.48065290773340924,0.9326732673267327,0.2214089804392065,0.9900990099009901,0.8960396039603961
DVA,119.8,166,0.5721187907949956,0.9346534653465346,0.47122626099089754,0.8257425742574257,0.4310524798939381,0.904950495049505,0.08418459895380333,0.8277227722772277,0.8732673267326733
TPR,31.1,643,0.16972238293026085,0.6158415841584158,1.4321794307384597,0.998019801980198,0.9839659078149168,0.9960396039603961,0.0968197063659058,0.8772277227722772,0.8717821782178218
PAYC,465.23,42,0.7415761308823459,0.9564356435643565,0.4234930996066453,0.7702970297029702,0.43097667874441,0.9029702970297029,0.0897830974396857,0.8554455445544555,0.8712871287128713
ALXN,160.71,124,0.4479049797897375,0.8910891089108911,0.3972392715004475,0.7405940594059406,0.365967088878007,0.8435643564356435,0.290264761160548,0.998019801980198,0.8683168316831683
MS,69.74,286,0.3924252361633501,0.8455445544554455,0.47698108014429913,0.8316831683168318,0.4810091350959307,0.9346534653465346,0.0852586445225075,0.8376237623762377,0.8623762376237624
APTV,135.62,147,0.3906569932617809,0.8435643564356435,0.7353438779615671,0.9643564356435644,0.388933050373947,0.8693069306930693,0.06714853783348179,0.7702970297029702,0.8618811881188119
CDNS,138.47,144,0.9761932119789849,0.9841584158415841,0.4248791872023003,0.7742574257425743,0.2665816583418803,0.700990099009901,0.1882397514858756,0.9821782178217822,0.8603960396039604
DFS,94.29,212,0.10272092840531638,0.5207920792079208,0.9436402171228523,0.9861386138613861,0.5530954948961704,0.9544554455445545,0.13389709054504817,0.9425742574257425,0.850990099009901
TWTR,55.29,361,0.7095774725301813,0.9524752475247524,0.7746254425704393,0.9722772277227724,0.16179999582131713,0.504950495049505,0.1644640049896965,0.9722772277227724,0.8504950495049506
