ticker,stock_price,num_of_shares_to_buy,PE_ratio,PB_ratio,PS_ratio,EV/EBITDA,EV/GP,PE_ratio_percentile,PB_ratio_percentile,PS_ratio_percentile,EV/EBITDA_percentile,EV/GP_percentile,RV_score
NOW,550.64,36,152.15,41.3,25.72,199.20425841735198,31.734858228803862,0.9711538461538461,0.9639423076923077,0.9951923076923077,1.0,0.9927884615384616,0.9846153846153847
PAYC,454.03,44,148.34,44.69,32.97,91.49771456028724,36.31266902530674,0.9663461538461539,0.9663461538461539,0.9975961538461539,0.9879807692307692,1.0,0.9836538461538462
ADSK,328.95,60,171.04,1017.66,19.81,106.70764332663055,20.317165464791866,0.983173076923077,1.0,0.9735576923076923,0.9951923076923077,0.920673076923077,0.9745192307692306
DXCM,392.58,50,164.26,25.6,21.35,101.1573863969309,30.24454345657391,0.9783653846153847,0.9326923076923077,0.983173076923077,0.9903846153846153,0.9807692307692308,0.9730769230769232
IDXX,519.31,38,97.45,162.27,17.28,62.30487852152129,30.32373192166535,0.9350961538461539,0.985576923076923,0.9615384615384616,0.9615384615384616,0.983173076923077,0.9653846153846153
AMD,98.1,203,131.09,29.7,13.88,77.71665717745022,28.962218257451315,0.9567307692307692,0.9447115384615384,0.9447115384615384,0.983173076923077,0.9783653846153847,0.9615384615384615
NVDA,542.15,36,86.28,21.9,23.18,66.33440319386354,36.07744802901294,0.9134615384615384,0.9134615384615384,0.9927884615384616,0.9711538461538461,0.9975961538461539,0.9576923076923076
MKTX,563.39,35,77.68,24.39,33.0,54.23460502718128,31.435286002100693,0.8990384615384616,0.9254807692307692,1.0,0.9495192307692308,0.9903846153846153,0.9528846153846153
ISRG,852.27,23,97.12,10.37,22.56,72.36811576598754,32.15899011286539,0.9326923076923077,0.7836538461538461,0.9903846153846153,0.9807692307692308,0.9951923076923077,0.9365384615384615
ADBE,489.71,40,62.72,20.21,19.13,56.15101586151657,21.812371199515148,0.8713942307692308,0.9014423076923077,0.9711538461538461,0.954326923076923,0.9495192307692308,0.9295673076923077
ILMN,381.17,52,89.3,12.4,17.71,72.24325018107444,23.869573221042977,0.9182692307692308,0.8221153846153847,0.9639423076923077,0.9759615384615384,0.9639423076923077,0.9288461538461539
TYL,437.47,45,99.79,9.4,16.27,88.62995341792137,31.22486837899861,0.9399038461538461,0.7728365384615384,0.9567307692307692,0.985576923076923,0.9879807692307692,0.9286057692307692
MA,362.698,55,54.46,61.83,22.45,38.64230337570118,21.57603949791945,0.8197115384615384,0.9735576923076923,0.9879807692307692,0.90625,0.9447115384615384,0.9264423076923076
ANSS,377.52,52,85.76,9.06,21.28,64.89738574776497,23.049886127293437,0.9110576923076923,0.7692307692307692,0.9807692307692308,0.96875,0.9591346153846153,0.9177884615384615
ABMD,325.95,61,73.44,12.39,18.71,56.5693514914421,21.87323537926563,0.889423076923077,0.8197115384615384,0.9663461538461539,0.9567307692307692,0.951923076923077,0.916826923076923
WST,320.1,62,76.56,13.7,11.41,45.872260062227205,30.542702684307113,0.8966346153846153,0.8389423076923077,0.9134615384615384,0.9326923076923077,0.985576923076923,0.9134615384615385
PYPL,248.49,80,91.67,15.0,14.16,62.985971936976775,13.615686844779862,0.920673076923077,0.859375,0.9471153846153847,0.9639423076923077,0.7932692307692308,0.896875
XLNX,152.82,130,61.29,15.66,12.93,46.502508580857466,17.176164170249795,0.860576923076923,0.875,0.9326923076923077,0.9350961538461539,0.8774038461538461,0.8961538461538462
INTU,375.89,53,56.36,20.67,13.54,44.14465319218988,15.753079849425026,0.829326923076923,0.9038461538461539,0.9399038461538461,0.9278846153846153,0.858173076923077,0.891826923076923
EW,92.6,215,74.72,13.86,12.86,39.86191460989195,16.507792632287796,0.8942307692307692,0.84375,0.9278846153846153,0.9134615384615384,0.8725961538461539,0.8903846153846153
ZTS,175.96,113,51.39,27.92,12.56,35.82583627750605,18.519064093108078,0.7932692307692308,0.9399038461538461,0.923076923076923,0.8870192307692308,0.9086538461538461,0.8903846153846153
MTD,1277.08,15,53.62,68.45,9.75,36.92066939770703,17.33707063682063,0.8125,0.9759615384615384,0.8629807692307692,0.8942307692307692,0.8870192307692308,0.8865384615384615
NFLX,512.2,39,84.04,22.24,9.48,24.62564452810588,25.430178083537463,0.9086538461538461,0.9182692307692308,0.8509615384615384,0.7716346153846153,0.9711538461538461,0.8841346153846154
ROL,41.685,479,54.02,21.38,9.56,44.91104882292835,17.91947748437048,0.8173076923076923,0.90625,0.8533653846153847,0.9302884615384616,0.8990384615384616,0.88125
AMT,230.34,86,53.66,26.72,12.82,25.632365015342092,20.857179546032427,0.8149038461538461,0.9375,0.9254807692307692,0.795673076923077,0.9302884615384616,0.8807692307692309
V,217.64,91,42.4,15.64,20.98,30.46514865377971,21.109496750642286,0.7307692307692308,0.8725961538461539,0.9783653846153847,0.860576923076923,0.9375,0.8759615384615383
CCI,158.76,125,111.61,7.09,12.05,28.090362611373223,23.6431716230862,0.9447115384615384,0.688701923076923,0.9182692307692308,0.829326923076923,0.9615384615384616,0.8685096153846154
CDNS,135.68,147,35.26,16.66,15.6,64.8837044551353,17.234230036789114,0.6346153846153846,0.8846153846153847,0.951923076923077,0.9663461538461539,0.8798076923076923,0.8634615384615385
IPGP,248.979,80,125.9,5.28,11.18,37.35110918059574,21.242673031389607,0.954326923076923,0.5841346153846154,0.9014423076923077,0.8990384615384616,0.9423076923076923,0.85625
VRSK,200.91,99,50.42,13.6,12.38,26.905081165954254,20.831549133011467,0.7836538461538461,0.8365384615384616,0.920673076923077,0.8076923076923077,0.9278846153846153,0.8552884615384615
FTNT,150.29,133,57.46,33.48,9.47,43.411861099092384,11.402060762749528,0.8341346153846153,0.951923076923077,0.8485576923076923,0.9254807692307692,0.7067307692307692,0.8533653846153847
AAPL,136.47,146,40.43,34.14,8.33,28.601269577076756,21.148251050101372,0.7115384615384616,0.954326923076923,0.8173076923076923,0.84375,0.9399038461538461,0.8533653846153845
EQIX,717.64,27,136.4,5.86,10.52,27.10954618327661,23.979262615401236,0.9639423076923077,0.6274038461538461,0.8798076923076923,0.8149038461538461,0.9663461538461539,0.8504807692307692
NKE,150.36,133,82.84,21.65,5.96,51.03569572686471,13.509959075502895,0.90625,0.9098557692307692,0.7067307692307692,0.9447115384615384,0.7836538461538461,0.8502403846153845
CMG,1434.54,13,174.2,22.2,6.88,71.17940347879605,9.598199185122638,0.985576923076923,0.9158653846153847,0.75,0.9735576923076923,0.6177884615384616,0.8485576923076923
