ticker,stock_price,num_of_shares_to_buy,one_year_price_return,six_month_price_return,three_month_price_return,one_month_price_return,one_year_price_return_percentile,six_month_price_return_percentile,three_month_price_return_percentile,one_month_price_return_percentile,HQM_score
TEL,131.6,151,0.378856,0.66907,0.236546,0.099319,0.8198019801980198,0.9108910891089108,0.6851485148514851,0.8257425742574257,0.8103960396039602
ANET,312.25,64,0.500837,0.440714,0.383659,0.081703,0.8811881188118812,0.7326732673267327,0.8712871287128714,0.7425742574257426,0.806930693069307
PYPL,250.24,79,1.179453,0.349897,0.259345,0.117701,0.9900990099009901,0.6198019801980198,0.7326732673267327,0.8673267326732673,0.8024752475247525
FITB,31.29,639,0.103233,0.793505,0.339406,0.156513,0.47722772277227726,0.9485148514851486,0.8356435643564356,0.9445544554455445,0.8014851485148515
HBAN,14.55,1374,0.057272,0.782791,0.45706,0.134363,0.4178217821782178,0.9465346534653466,0.9148514851485149,0.9108910891089108,0.7975247524752476
RF,18.18,1100,0.124382,0.752272,0.36372,0.105385,0.5128712871287129,0.9386138613861387,0.8574257425742574,0.8435643564356435,0.788118811881188
PVH,107.43,186,-0.020182,1.314229,0.557033,0.136165,0.2831683168316832,0.9920792079207921,0.9584158415841584,0.9148514851485149,0.7871287128712872
DISCK,30.28,660,0.000346,0.666123,0.476786,0.220538,0.3287128712871287,0.9089108910891089,0.9267326732673267,0.9801980198019803,0.7861386138613862
XYL,110.16,181,0.381665,0.66142,0.201032,0.093145,0.8237623762376238,0.906930693069307,0.6217821782178218,0.7920792079207921,0.7861386138613862
HPQ,26.42,757,0.257786,0.544852,0.338547,0.089347,0.6851485148514851,0.8376237623762377,0.8336633663366336,0.7821782178217822,0.7846534653465347
